"tag","freq"
"<U+949F>",1
"<U+9505>",1
"<U+9577>",1
"<U+9580>",1
"<U+958B>",1
"<U+95EE>",1
"<U+968F>",1
"<U+96C0>",1
"<U+96E3>",1
"<U+96EA>",1
"<U+9700>",1
"<U+9759>",1
"<U+9762>",1
"<U+9811>",1
"<U+98A8>",1
"<U+996D>",1
"<U+9B54>",1
"<U+9E21>",1
"<U+9EC3>",1
"<U+9EC4>",1
"<U+AC00>",1
"<U+AC19>",1
"<U+ACC4>",1
"<U+AE08>",1
"<U+B0A0>",1
"<U+B155>",1
"<U+B2D8>",1
"<U+B300>",1
"<U+B3C5>",1
"<U+B3D9>",1
"<U+B77C>",1
"<U+B780>",1
"<U+B7FD>",1
"<U+B9BD>",1
"<U+BA39>",1
"<U+BC29>",1
"<U+BCF4>",1
"<U+BCF5>",1
"<U+BE75>",1
"<U+C0DD>",1
"<U+C2A4>",1
"<U+C2B5>",1
"<U+C2DC>",1
"<U+C2ED>",1
"<U+C548>",1
"<U+C57C>",1
"<U+C5B4>",1
"<U+C5F0>",1
"<U+C601>",1
"<U+C624>",1
"<U+C758>",1
"<U+C774>",1
"<U+C788>",1
"<U+C81C>",1
"<U+C9C8>",1
"<U+CC1C>",1
"<U+CC98>",1
"<U+D574>",1
"<U+D648>",1
"<U+E008>",1
"<U+E00C>",1
"<U+E00F>",1
"<U+E01C>",1
"<U+E02B>",1
"<U+E02E>",1
"<U+E042>",1
"<U+E10A>",1
"<U+E10B>",1
"<U+E10D>",1
"<U+E119>",1
"<U+E122>",1
"<U+E128>",1
"<U+E134>",1
"<U+E135>",1
"<U+E13A>",1
"<U+E141>",1
"<U+E146>",1
"<U+E152>",1
"<U+E153>",1
"<U+E157>",1
"<U+E159>",1
"<U+E201>",1
"<U+E208>",1
"<U+E20D>",1
"<U+E20E>",1
"<U+E211>",1
"<U+E213>",1
"<U+E219>",1
"<U+E21F>",1
"<U+E220>",1
"<U+E22F>",1
"<U+E234>",1
"<U+E235>",1
"<U+E236>",1
"<U+E24C>",1
"<U+E305>",1
"<U+E314>",1
